ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301459.SZ,2023/12/13,58.0,66.2,56.0,59.22,31.9,27.32,85.6426,145758.42,869696.576
301459.SZ,2023/12/14,60.5,61.5,54.5,54.5,59.22,-4.72,-7.9703,109923.24,634449.319
301459.SZ,2023/12/15,53.23,56.16,49.5,49.63,54.5,-4.87,-8.9358,96157.82,500063.4
301459.SZ,2023/12/18,48.81,50.0,46.8,47.0,49.63,-2.63,-5.2992,67255.05,322493.783
301459.SZ,2023/12/19,47.02,49.66,46.98,48.47,47.0,1.47,3.1277,69765.68,334837.409
301459.SZ,2023/12/20,47.99,50.88,47.4,47.6,48.47,-0.87,-1.7949,66737.71,326506.766
301459.SZ,2023/12/21,47.0,49.37,46.81,48.14,47.6,0.54,1.1345,58697.01,283396.295
301459.SZ,2023/12/22,47.76,49.27,45.88,46.61,48.14,-1.53,-3.1782,64432.56,307060.092
301459.SZ,2023/12/25,45.92,47.03,45.08,45.3,46.61,-1.31,-2.8106,40193.76,184347.229
301459.SZ,2023/12/26,45.15,45.51,44.1,44.19,45.3,-1.11,-2.4503,32150.38,143273.065
301459.SZ,2023/12/27,44.5,45.98,43.9,45.56,44.19,1.37,3.1002,44122.36,199264.162
301459.SZ,2023/12/28,45.17,46.45,45.17,45.69,45.56,0.13,0.2853,37735.48,173131.02
301459.SZ,2023/12/29,45.2,46.65,45.2,46.44,45.69,0.75,1.6415,28949.63,133246.161
301459.SZ,2024/01/02,46.61,48.2,46.3,46.4,46.44,-0.04,-0.0861,32224.23,151460.519
301459.SZ,2024/01/03,46.0,46.65,45.25,46.65,46.4,0.25,0.5388,23987.14,110344.987
301459.SZ,2024/01/04,46.74,47.46,45.45,46.72,46.65,0.07,0.1501,23784.08,111000.662
301459.SZ,2024/01/05,46.55,47.25,45.15,45.4,46.72,-1.32,-2.8253,23278.12,107453.625
301459.SZ,2024/01/08,45.5,46.6,45.01,45.37,45.4,-0.03,-0.0661,19418.7,89028.4
301459.SZ,2024/01/09,45.29,46.22,43.77,44.0,45.37,-1.37,-3.0196,22323.05,99938.492
301459.SZ,2024/01/10,43.44,44.41,42.5,43.41,44.0,-0.59,-1.3409,16397.33,70962.27
301459.SZ,2024/01/11,43.48,44.5,43.3,44.49,43.41,1.08,2.4879,15605.47,68625.419
301459.SZ,2024/01/12,44.48,44.88,43.03,43.36,44.49,-1.13,-2.5399,15262.99,67388.017
301459.SZ,2024/01/15,43.37,43.37,42.27,42.4,43.36,-0.96,-2.214,13905.98,59268.022
301459.SZ,2024/01/16,42.4,42.49,40.91,41.88,42.4,-0.52,-1.2264,16097.84,66952.163
301459.SZ,2024/01/17,41.79,42.3,40.45,40.7,41.88,-1.18,-2.8176,11301.05,46369.47
301459.SZ,2024/01/18,41.27,41.8,39.77,40.54,40.7,-0.16,-0.3931,23240.12,94544.242
301459.SZ,2024/01/19,40.51,41.27,38.6,40.7,40.54,0.16,0.3947,31399.76,125339.889
301459.SZ,2024/01/22,40.1,40.43,38.08,38.08,40.7,-2.62,-6.4373,19000.51,74529.769
301459.SZ,2024/01/23,37.87,39.29,37.72,38.9,38.08,0.82,2.1534,17620.69,67932.058
301459.SZ,2024/01/24,38.68,39.45,37.45,38.63,38.9,-0.27,-0.6941,15525.47,59655.561
301459.SZ,2024/01/25,38.49,40.0,38.08,39.7,38.63,1.07,2.7699,17018.81,66725.677
301459.SZ,2024/01/26,39.58,40.0,38.61,38.62,39.7,-1.08,-2.7204,13682.73,53551.039
301459.SZ,2024/01/29,39.73,42.13,39.73,40.04,38.62,1.42,3.6769,39325.08,159816.636
301459.SZ,2024/01/30,38.74,38.78,36.37,36.87,40.04,-3.17,-7.9171,24537.04,91434.54
301459.SZ,2024/01/31,36.14,37.32,34.62,34.8,36.87,-2.07,-5.6143,17912.56,63924.045
301459.SZ,2024/02/01,34.88,35.8,34.32,35.21,34.8,0.41,1.1782,14953.53,52383.762
301459.SZ,2024/02/02,35.0,35.45,31.61,32.88,35.21,-2.33,-6.6174,20386.06,68150.818
301459.SZ,2024/02/05,32.32,33.36,29.68,31.09,32.88,-1.79,-5.444,20726.95,64824.513
301459.SZ,2024/02/06,30.97,33.44,30.24,33.04,31.09,1.95,6.2721,16384.0,52500.316
301459.SZ,2024/02/07,33.0,33.24,29.96,30.23,33.04,-2.81,-8.5048,22018.9,70016.214
301459.SZ,2024/02/08,30.3,34.08,29.41,32.68,30.23,2.45,8.1045,18977.96,60196.534
301459.SZ,2024/02/19,33.3,34.01,33.05,33.67,32.68,0.99,3.0294,16524.24,55381.36
301459.SZ,2024/02/20,33.29,35.36,33.11,34.43,33.67,0.76,2.2572,17263.8,59405.283
301459.SZ,2024/02/21,34.0,35.66,33.81,34.69,34.43,0.26,0.7552,18892.65,65978.313
301459.SZ,2024/02/22,34.23,36.98,34.21,36.16,34.69,1.47,4.2375,22185.69,78648.075
301459.SZ,2024/02/23,35.92,42.52,35.42,38.99,36.16,2.83,7.8263,29258.15,110504.216
301459.SZ,2024/02/26,38.9,39.37,38.06,38.49,38.99,-0.5,-1.2824,22145.66,85263.651
301459.SZ,2024/02/27,38.4,40.4,38.21,39.8,38.49,1.31,3.4035,24340.88,96305.838
301459.SZ,2024/02/28,39.45,40.26,36.69,36.69,39.8,-3.11,-7.8141,23504.4,91491.344
301459.SZ,2024/02/29,36.29,42.0,36.29,40.5,36.69,3.81,10.3843,30366.3,120227.728
301459.SZ,2024/03/01,40.5,40.88,39.32,39.75,40.5,-0.75,-1.8519,18231.67,72580.567
301459.SZ,2024/03/04,39.59,39.88,38.0,39.58,39.75,-0.17,-0.4277,18454.55,72008.084
301459.SZ,2024/03/05,39.18,39.5,38.11,38.57,39.58,-1.01,-2.5518,14880.7,57766.748
301459.SZ,2024/03/06,38.21,39.8,38.21,39.36,38.57,0.79,2.0482,14577.01,57338.924
301459.SZ,2024/03/07,39.44,40.27,38.26,38.77,39.36,-0.59,-1.499,13781.32,54080.75
301459.SZ,2024/03/08,38.6,39.1,38.11,38.97,38.77,0.2,0.5159,9747.51,37765.445
301459.SZ,2024/03/11,39.06,39.46,38.22,39.4,38.97,0.43,1.1034,10851.0,42265.86
